iter	RMSE
0	25.17861111
1	23.46195664
2	21.96272236
3	20.66506168
4	19.53041536
5	18.55360304
6	17.72546087
7	17.01160454
8	16.40911805
9	15.8951921
10	15.45810054
11	15.09168384
12	14.78583701
13	14.52789738
14	14.31364325
15	14.13610534
16	13.99093831
17	13.86550414
18	13.76162308
19	13.67604039
20	13.60176067
21	13.54077738
22	13.48958115
23	13.44940801
24	13.41641333
25	13.38690351
26	13.36376235
27	13.34320835
28	13.32688748
29	13.31286121
30	13.30011139
31	13.28777783
32	13.27914636
33	13.27072942
34	13.26397767
35	13.25893662
36	13.25605617
37	13.2515722
38	13.24815702
39	13.24511189
40	13.24158446
41	13.23810409
42	13.23472914
43	13.23347405
44	13.23162905
45	13.22972681
46	13.22798177
47	13.2266331
48	13.22561986
49	13.22341645
50	13.22224012
51	13.22074119
52	13.21926543
53	13.21874771
54	13.21723052
55	13.21587011
56	13.21476975
57	13.21381932
58	13.21270226
59	13.21173507
60	13.21100455
61	13.20900985
62	13.20798306
63	13.20686353
64	13.20591907
65	13.20528978
66	13.20309104
67	13.20204822
68	13.20104853
69	13.20021806
70	13.19945462
71	13.19879164
72	13.19792596
73	13.1974301
74	13.19613094
75	13.19542349
76	13.19515552
77	13.19418479
78	13.1936545
79	13.19328974
80	13.19289207
81	13.19237078
82	13.19210322
83	13.1910307
84	13.19076193
85	13.19040666
86	13.18998431
87	13.18943569
88	13.18936972
89	13.18889287
90	13.18887968
91	13.18884327
92	13.18847164
93	13.18800204
94	13.18750091
95	13.18692065
96	13.18638016
97	13.18582984
98	13.18553276
99	13.18507601
100	13.18458392
101	13.18457218
102	13.1842533
103	13.18369262
104	13.1831002
105	13.1822439
106	13.18150982
107	13.18099739
108	13.18068064
109	13.18032313
110	13.18017654
111	13.17979391
112	13.17966411
113	13.17955974
114	13.17893832
115	13.1784169
116	13.17827523
117	13.17798424
118	13.17781362
119	13.17729519
120	13.17708622
121	13.17699348
122	13.17688215
123	13.17656942
124	13.17565602
125	13.17511084
126	13.17399119
127	13.17330143
128	13.1730093
129	13.17251966
130	13.1721806
131	13.1719566
132	13.17118983
133	13.17056137
134	13.17026642
135	13.16974179
136	13.16934678
137	13.16883105
138	13.1680874
139	13.16751978
140	13.16729883
141	13.16699533
142	13.16658158
143	13.1662081
144	13.16569822
145	13.16535447
146	13.16498047
147	13.16404042
148	13.16335439
149	13.16274183
150	13.16243205
151	13.16190306
152	13.161195
153	13.15952985
154	13.15901463
155	13.15846587
156	13.15804973
157	13.15761887
158	13.1570395
159	13.15643487
160	13.1558414
161	13.15511867
162	13.1548171
163	13.15446592
164	13.15378081
165	13.15346811
166	13.15276997
167	13.15245217
168	13.15195766
169	13.15158352
170	13.1509661
171	13.15083719
172	13.15056378
173	13.15041945
174	13.14988195
175	13.14931641
176	13.14898023
177	13.14845372
178	13.14807619
179	13.14787853
180	13.14738003
181	13.14709707
182	13.14664446
183	13.14617575
184	13.14573094
185	13.1452138
186	13.14452367
187	13.14402588
188	13.14383447
189	13.14330758
190	13.14305263
191	13.1428145
192	13.14249835
193	13.14206391
194	13.14141067
195	13.14127628
196	13.14106635
197	13.14089761
198	13.14062037
199	13.14031547
200	13.13964122
201	13.13917024
202	13.13885954
203	13.13871566
204	13.13846024
205	13.13825277
206	13.13780307
207	13.13757195
208	13.13690625
209	13.13676405
210	13.13639519
211	13.13550699
212	13.13531918
213	13.13517495
214	13.134815
215	13.13415908
216	13.13402867
217	13.13381846
218	13.13330529
219	13.13237062
220	13.1320257
221	13.1319181
222	13.13163547
223	13.13145997
224	13.13115424
225	13.13096158
226	13.13082859
227	13.13042382
228	13.1297147
229	13.12969421
230	13.1292564
231	13.12920687
232	13.12866176
233	13.12840219
234	13.12834583
235	13.12796198
236	13.1276821
237	13.12765401
238	13.12721632
239	13.1272018
240	13.12684187
241	13.12666566
242	13.12622698
243	13.12565473
244	13.12549021
245	13.12527345
246	13.12503339
247	13.12468557
248	13.12443296
249	13.12403685
250	13.12399245
251	13.12387075
252	13.12370222
253	13.1234569
254	13.12311492
255	13.1226622
256	13.12243175
257	13.12212996
258	13.12200104
259	13.1215534
260	13.12147681
261	13.12144684
262	13.1211619
263	13.12097745
264	13.12069313
265	13.12050526
266	13.12033372
267	13.12001124
268	13.11976573
269	13.11943109
270	13.11910074
